Years,Norway,Singapore,UnitedStates,Japan,Taiwan,Spain,France,Italy,China
2005,0.931,0.874,0.9,0.875,0.846,0.851,0.867,0.865,0.64
2006,0.934,0.881,0.903,0.879,0.859,0.856,0.871,0.87,0.653
2007,0.936,0.882,0.906,0.882,0.868,0.86,0.874,0.874,0.667
2008,0.937,0.888,0.911,0.883,0.857,0.863,0.875,0.876,0.678
2009,0.937,0.888,0.912,0.882,0.871,0.865,0.876,0.876,0.687
2010,0.94,0.909,0.916,0.887,0.873,0.872,0.879,0.879,0.699
2011,0.942,0.913,0.919,0.892,0.874,0.878,0.882,0.883,0.707
2012,0.941,0.918,0.92,0.897,0.879,0.881,0.885,0.882,0.716
2013,0.944,0.921,0.918,0.902,0.882,0.882,0.889,0.881,0.724
2014,0.944,0.926,0.92,0.906,0.882,0.888,0.893,0.882,0.731
2015,0.947,0.931,0.921,0.908,0.885,0.895,0.895,0.882,0.739
2016,0.95,0.935,0.922,0.912,0.903,0.899,0.894,0.884,0.746
2017,0.954,0.933,0.924,0.915,0.907,0.903,0.897,0.886,0.75
2018,0.956,0.936,0.925,0.917,0.911,0.905,0.898,0.89,0.755
2019,0.957,0.938,0.926,0.919,0.911,0.904,0.901,0.892,0.761
